id,name,unlock_furniture_level,type,equip_boss,dev_specialitem_num,code,des,dev_battery_num,dev_time,active_special_skill,active_special_skill_cd,active_special_skill_cost,active_mission_skill,chip_skill,passive_mission_skill,special_skill_parameter,night_view_percent
1001,夜战视野,0,1,0,,NightView,夜间作战时//c额外为梯队提供1格视野。,1000,300,,,,,,30001:1,,0
1002,夜视能力,1,1,0,,NightHit,夜间作战时//c抵消100%夜战命中惩罚。,1000,600,,,,,,30002:1,,100
1003,鬼影姿态,3,1,0,,ExtraAp,梯队每回合第1次移动时不消耗行动点。,1000,1800,,,,,,"30003:1,2",,0
1004,充足燃料,5,1,0,,ExtraAmmo,梯队可额外携带2份弹药口粮。,1000,3600,,,,,,30005:1,,0
1005,俭节勤兵,4,1,0,,AmmoReduce,梯队部署后的首次战斗不消耗弹药和口粮且伤害提升15%。,1000,2400,,,,,,30004:1,,0
2003,抽薪,4,2,0,,Steal,可获得相邻格内敌方掉落//c每组敌人仅能被抽薪一次。,1000,2400,102,0,"0,1,1",,,,,0
2004,快速补给,5,2,0,,InstantSupply,为相邻我方梯队呼叫空投补给。,1000,3600,104,2,"3,0,0",,,,,0
3001,弱化,0,3,0,,Weak,降低自身2格范围内敌方梯队12%伤害。,1000,300,,,,,3001,,,0
3002,斗魂,1,3,0,,Support,提高自身3格范围内友方梯队6%伤害。,1000,300,,,,,3002,,,0
3003,孤狼,2,3,0,,SeKiRo,自身一格范围内没有友方时//c提升自身梯队10%伤害。,1000,1200,,,,,3003,,,0
3004,坚守,4,3,0,,Defence,位于我方占领点位时//c提升自身梯队100%回避和50%护甲。,1000,2400,,,,,3004,,,0
3005,军势,3,3,0,,ArmyPower,梯队单位越多//c全队伤害提升越高//c最多提升15%。,1000,1800,,,,,3007,,,0
3006,支援,3,3,0,,SupportPower,自身2格范围内友方梯队增援入场的单位伤害提升20%//c该效果不可叠加。,1000,1800,,,,,3008,,,0
