id,group_id,lv,unlock_num,if_skill_up,resolution_number,resolution_hp,resolution_pow,resolution_rate,resolution_hit,resolution_dodge,resolution_armor,resolution_armor_piercing,resolution_crit,resolution_crit_dmg,resolution_speed,resolution_effect,effect_grid_effect,ap_add,cost_reduce,skill1,skill2,skill3,skill_advance
10000,100,0,0,0,1,366,44,38,23,48,0,0,0,0,0,0,"4:2,6;4,9",0,0,0,0,0,0
10001,100,1,1,0,1,366,44,38,23,48,0,0,0,0,0,200,"4:2,6;4,9",0,0,0,0,0,0
10002,100,2,1,0,1,366,80,38,23,48,0,0,0,0,0,200,"4:2,10;4,15",0,0,0,0,0,0
10003,100,3,1,0,1,366,80,38,33,63,0,0,0,0,0,200,"4:2,15;4,20",0,0,0,0,0,0
10004,100,4,1,1,1,366,80,38,33,63,0,0,0,0,0,200,"4:2,15;4,20",0,0,901585,0,0,0
10100,101,0,0,0,1,331,42,36,19,58,0,0,0,0,0,0,"4:2,6;4,9",0,0,0,0,0,0
10101,101,1,1,0,1,331,42,36,19,58,0,0,0,0,0,200,"4:2,15;4,20",0,0,0,0,0,0
10102,101,2,1,0,1,331,72,36,29,58,0,0,0,0,0,200,"4:2,15;4,20",0,0,0,0,0,0
10103,101,3,1,0,1,331,72,42,29,73,0,0,0,0,0,200,"4:2,15;4,20",0,0,0,0,0,0
10104,101,4,1,1,1,331,72,42,29,73,0,0,0,0,0,200,"4:2,15;4,20",0,0,900526,0,0,0
10200,102,0,0,0,1,319,42,32,31,42,0,0,0,0,0,0,"0:1,6;5,6|5:3,10;4,10",0,0,0,0,0,0
10201,102,1,1,0,1,319,42,32,31,42,0,0,0,0,0,200,"0:1,10;5,10|5:3,18;4,18",0,0,0,0,0,0
10202,102,2,1,0,1,319,82,32,31,42,0,0,0,0,0,200,"0:1,10;5,10|5:3,18;4,18",0,0,0,0,0,0
10203,102,3,1,0,1,439,82,32,31,57,0,0,0,0,0,200,"0:1,10;5,10|5:3,18;4,18",0,0,0,0,0,0
10204,102,4,1,1,1,439,82,32,31,57,0,0,0,0,0,200,"0:1,10;5,10|5:3,18;4,18",0,0,600308,0,0,0
10300,103,0,0,0,1,348,57,39,17,32,0,0,0,0,0,0,"0:2,3;3,3|5:3,8;4,8|6:1,6;3,8",0,0,0,0,0,0
10301,103,1,1,0,1,348,57,39,17,32,0,0,0,0,0,200,"0:2,6;3,6|5:3,12;4,12|6:1,10;3,12",0,0,0,0,0,0
10302,103,2,1,0,1,348,77,39,17,47,0,0,0,0,0,200,"0:2,6;3,6|5:3,12;4,12|6:1,10;3,12",0,0,0,0,0,0
10303,103,3,1,0,1,348,77,39,33,63,0,0,0,0,0,200,"0:2,6;3,6|5:3,12;4,12|6:1,10;3,12",0,0,0,0,0,0
10304,103,4,1,1,1,348,77,39,33,63,0,0,0,0,0,200,"0:2,6;3,6|5:3,12;4,12|6:1,10;3,12",0,0,900598,0,0,0
10400,104,0,0,0,1,419,55,30,15,27,0,0,0,0,0,0,"0:1,6;3,6;4,6;5,6",0,0,0,0,0,0
10401,104,1,1,0,1,419,55,30,15,27,0,0,0,0,0,200,"0:1,10;3,10;4,10;5,10",0,0,0,0,0,0
10402,104,2,1,0,1,419,80,35,15,27,0,0,0,0,0,200,"0:1,10;3,10;4,10;5,10",0,0,0,0,0,0
10403,104,3,1,0,1,419,80,35,30,57,0,0,0,0,0,200,"0:1,10;3,10;4,10;5,10",0,0,0,0,0,0
10404,104,4,1,1,1,419,80,35,30,57,0,0,0,0,0,200,"0:1,10;3,10;4,10;5,10",0,0,900674,0,0,0
10500,105,0,0,0,1,384,53,20,17,27,0,0,0,0,0,0,"1:1,6;8,6|3:1,6;3,9",0,0,0,0,0,0
10501,105,1,1,0,1,384,53,20,17,27,0,0,0,0,0,200,"1:1,10;8,10|3:1,10;3,15",0,0,0,0,0,0
10502,105,2,1,0,1,384,78,25,17,27,0,0,0,0,0,200,"1:1,10;8,10|3:1,10;3,15",0,0,0,0,0,0
10503,105,3,1,0,1,384,103,25,32,57,0,0,0,0,0,200,"1:1,10;8,10|3:1,10;3,15",0,0,0,0,0,0
10504,105,4,1,1,1,384,103,25,32,57,0,0,0,0,0,200,"1:1,10;8,10|3:1,10;3,15",0,0,900738,0,0,0
10600,106,0,0,0,1,384,51,29,18,27,0,0,0,0,0,0,"0:3,8;4,8|3:1,8;3,8",0,0,0,0,0,0
10601,106,1,1,0,1,384,51,29,18,27,0,0,0,0,0,200,"0:3,12;4,12|3:1,12;3,12",0,0,0,0,0,0
10602,106,2,1,0,1,384,71,29,33,42,0,0,0,0,0,200,"0:3,12;4,12|3:1,12;3,12",0,0,0,0,0,0
10603,106,3,1,0,1,384,91,39,33,42,0,0,0,0,0,200,"0:3,12;4,12|3:1,12;3,12",0,0,0,0,0,0
10604,106,4,1,1,1,384,91,39,33,42,0,0,0,0,0,200,"0:3,12;4,12|3:1,12;3,12",0,0,900784,0,0,0
10700,107,0,0,0,1,366,50,23,18,33,0,0,0,0,0,0,"0:4,6;5,6|2:1,5;3,5",0,0,0,0,0,0
10701,107,1,1,0,1,366,50,23,18,33,0,0,0,0,0,200,"0:4,15;5,15|2:1,12;3,12",0,0,0,0,0,0
10702,107,2,1,0,1,366,80,23,18,63,0,0,0,0,0,200,"0:4,15;5,15|2:1,12;3,12",0,0,0,0,0,0
10703,107,3,1,0,1,366,80,38,33,63,0,0,0,0,0,200,"0:4,15;5,15|2:1,12;3,12",0,0,0,0,0,0
10704,107,4,1,1,1,366,80,38,33,63,0,0,0,0,0,200,"0:4,15;5,15|2:1,12;3,12",0,0,900834,0,0,0
10800,108,0,0,0,1,246,47,22,36,26,0,0,0,0,0,0,"3:2,9;3,9|5:1,9;4,9",0,0,0,0,0,0
10801,108,1,1,0,1,246,47,22,36,26,0,0,0,0,0,200,"3:2,15;3,15|5:1,15;4,15",0,0,0,0,0,0
10802,108,2,1,0,1,246,77,42,36,26,0,0,0,0,0,200,"3:2,15;3,15|5:1,15;4,15",0,0,0,0,0,0
10803,108,3,1,0,1,366,77,42,36,66,0,0,0,0,0,200,"3:2,15;3,15|5:1,15;4,15",0,0,0,0,0,0
10804,108,4,1,1,1,366,77,42,36,66,0,0,0,0,0,200,"3:2,15;3,15|5:1,15;4,15",0,0,900926,0,0,0
