id,atk_rate,def_rate,armor_rate,armor_piercing_rate,dodge_rate,night_view_rate
0,5,5,5,5,5,5
1,10,10,10,5,5,5
2,20,20,15,5,6,5
3,30,30,20,6,6,5
4,31,31,25,6,7,5
5,32,32,30,6,7,5
6,33,33,35,7,8,5
7,34,34,36,7,8,5
8,35,35,36,7,9,5
9,36,36,37,9,9,5
10,37,37,38,9,10,5
11,38,38,38,9,11,5
12,39,39,39,10,12,5
13,40,40,40,10,13,5
14,41,41,40,10,14,5
15,42,42,41,11,15,5
16,43,43,42,11,16,5
17,44,44,42,11,17,5
18,45,45,43,12,18,5
19,46,46,44,12,19,5
20,47,47,44,12,20,5
21,48,48,45,13,21,5
22,49,49,46,13,22,5
23,50,50,46,13,23,5
24,51,51,47,14,24,5
25,52,52,48,14,25,5
26,53,53,48,14,26,5
27,53,53,49,15,27,5
28,54,54,50,15,28,5
29,54,54,50,15,29,5
30,55,55,51,16,30,5
31,55,55,52,16,31,5
32,56,56,52,16,32,5
33,56,56,53,17,33,5
34,57,57,54,17,34,5
35,57,57,54,17,35,5
36,58,58,55,18,35,5
37,58,58,56,18,35,5
38,59,59,56,18,35,5
39,59,59,57,19,35,5
40,60,60,58,19,36,5
41,60,60,58,19,36,5
42,61,61,59,20,36,5
43,61,61,60,20,36,5
44,62,62,60,20,36,5
45,62,62,61,21,37,5
46,63,63,62,21,37,5
47,63,63,62,21,37,5
48,64,64,63,22,37,5
49,64,64,64,22,37,5
50,65,65,64,22,38,20
51,65,65,65,23,38,20
52,66,66,66,23,38,21
53,66,66,66,23,38,21
54,67,67,67,24,38,22
55,67,67,68,24,39,22
56,68,68,68,24,39,23
57,68,68,69,26,39,23
58,69,69,69,26,39,24
59,69,69,69,26,39,24
60,70,70,70,27,40,25
61,70,70,70,27,40,25
62,71,71,70,27,40,26
63,71,71,71,28,40,26
64,72,72,71,28,40,27
65,72,72,71,28,41,27
66,73,73,72,29,41,28
67,73,73,72,29,41,28
68,74,74,72,29,41,29
69,74,74,73,30,41,29
70,75,75,73,30,42,30
71,75,75,73,30,42,30
72,76,76,74,31,42,30
73,76,76,74,31,42,31
74,77,77,74,31,42,31
75,77,77,75,32,43,31
76,78,78,75,32,43,32
77,78,78,75,32,43,32
78,79,79,76,32,43,32
79,79,79,76,32,43,33
80,80,80,76,33,44,33
81,80,80,77,33,44,33
