id,name,extra,fit_gun,ai,voice,is_hidden,substitute_voice,dialog,note,explore_tag,gift_position,illustrator_cv,order,class_id
1,马卡洛夫-南瓜熊熊,0,8,40001,18,0,,大家都躲哪了呢～要捣蛋咯～,这世界上，是没有妖魔鬼怪的，但是你们敢耽误我今天跟指挥官一起度过的万圣节活动……,3001,"54.2,-115.6",河马//c上坂すみれ//c,1,1
2,维克托-猫猫肉垫,0,20,0,18,0,,哪里——我很喜欢今晚啊。如果能让我永远留在鬼怪那一边，对大家一定也不错吧。,嗯，居然有什么事能用得上我吗？,3001,,,1,1
3,MP5-暗夜使魔,0,26,0,18,0,,指挥官，今天是我一年里最喜欢的一天！大家都会给我很多零食，嘿嘿。,嗯，好的，我知道啦！,3001,,,1,1
4,M45-糖果快递,0,33,0,18,0,,万圣节的话，我可是很擅长小点心的呢。诶？Cosplay？还是算了吧，啊哈哈……,这次就不跟你计较，下次要带最好的泡打粉给我哦。,3001,"46,-142.3",,1,1
5,春田-古典派女巫,0,36,0,18,0,,哼哼，万圣节了呢。M14啊，又在那里兴高采烈的……,您的视线，直勾勾得……有点过头啦。,3001,,,1,1
6,WA2000-古堡历险,0,48,0,18,0,,噫！才没有害怕呢！哇！别拿着南瓜头过来！,都知道是假的，怎么可能会怕！世上又不会真的存……,3001,,,1,1
7,M1919A4-卡蜜拉,0,80,0,18,0,,要给我糖果吗？太好啦！最喜欢指挥官啦！,要给我糖果吗？太好啦！最喜欢指挥官啦！,3001,,,1,1
8,MK23-甜心小恶魔,0,99,0,18,0,,今晚会有很多小家伙扮得漂漂亮亮呢，不过你……必须目不转睛地看着我哦。,嗯？Darling，喜欢么？这可是为你特别准备的哦。,3001,"112.9,-120.3",,1,1
9,G11-僵尸家里蹲,0,122,40009,18,0,,只是给我糖果的活动，参加一下也不是不行……啊？还要干别的？还是算了吧。,呃，人生不如意……十有八九嘛……,3001,,音符//c福原綾香//c,1,1
10,李-恩菲尔德-狩猎者礼服,0,50,0,18,0,,不管是战场还是狩猎场，我都会为您刻下胜利的荣耀。,,,,,1,3
11,64式-异邦魔女,0,94,0,18,0,,啊，门外的是谁呢？万圣节……吗？糖果还没好……绿茶冰淇淋，可以吗？,啊……这个啊，算是个人爱好吧，至于那个茶壶，是用来配重用的。,3001,,,1,1
101,微型乌兹-睡醒的笨蛋,0,32,0,4,0,,干嘛啊，穿成这样就满意了吗？真是不明白笨蛋的兴趣啊……,,,,,2,2
102,M1918-兔女郎,0,75,0,4,0,,好了~下注时间到了哦~指挥官您的胜算会有多少呢？,,,,,2,2
103,MP-446-顽劣噪音,0,91,0,4,0,,特立独行就是海盗的做派！反论和阻碍对我都是没用的！,,,,,2,2
104,64式-水襦裙,0,94,0,4,0,,指挥官……难得您有如此雅兴，可有好茶与我共饮呢？,,,,,2,3
105,灰熊MkⅤ-周末警卫,0,96,0,4,0,,要和我周末约会吗？那安保任务也交给我吧，这次是特别服务哦？,,,,,2,3
106,M1919A4-派对甜心,0,80,0,4,0,,快让Party开始吧，再磨蹭下去姐妹们就等不及了！,,,,,2,3
201,格琳娜-青春弧光,0,-1,5001,4,0,,,,,,,0,52
202,格琳娜-自由街头,0,-1,5001,4,0,,,,,,,0,52
203,格琳娜-摇滚扳手,0,-1,5001,4,0,,,,,,,0,52
204,格琳娜-格里芬制服,0,-1,5001,4,0,,,,,,,0,52
205,格琳娜-钻石与烟花,0,-1,5001,4,0,,,,,,,0,52
206,格琳娜-冬幕派对,0,-1,5001,4,0,,,,,,,0,52
207,格琳娜-黑猫小姐,0,-1,5001,4,0,,,,,"-23.1,-139.2",,0,52
208,格琳娜-恋人絮语,0,-1,5001,4,0,,,,,,,0,52
301,柯尔特左轮-直达星星的愿望,0,1,0,19,0,,圣诞快乐！圣诞树真是漂亮啊！,可乐是人生的必需品，所以……指挥官，来一起享受可乐吧~,3002,,,3,4
302,春田-圣善夜的祝福,0,36,0,19,0,,嘻嘻，圣诞节了呢。该做点什么料理好呢？,没想到在圣诞节我也收到了一份意外惊喜，看来这的确是个有魔力的节日呢。,3002,"-8.5,-157.1",,3,4
303,M14-圣诞巡游礼服,0,37,0,19,0,,圣诞快乐！指挥官，圣诞老人会来的吧？会的吧？,如果不小心弄丢了礼物也不怕，M14会帮你找回来的！,3002,"11.2,-142.1",,3,4
304,M21-圣诞居家礼服,0,38,0,19,0,,圣诞快乐，指挥官！虽然被邀请去狩猎圣诞老人，不过我还是呆在家里比较暖和呢！,讲笑话真的好难啊……不过为了和指挥官的约定，我不会放弃的！,3002,,,3,4
305,SVD-冬日仙女,0,43,0,19,0,,我的圣诞礼服怎么样？……出众是理所当然的！你就借着这个美好的节日好好欣赏吧。,还是正宗的格瓦斯棒啊，可惜太难弄到，要是能有机会喝个够就好了。,3002,,,3,4
306,WA2000-雪下赴约者,0,48,40306,19,0,,反正你现在闲着吧。一个人看着太可怜了稍微陪陪你吧。,收集这个酒标，只是因为故乡的东西比较难得一见而已，才不是为了感谢指挥官留下的！,3002,,,3,4
307,NTW-20-圣诞鹿,0,53,0,19,0,,圣诞那天会下雪吗？从没见过下雪，真想看看啊……,第一次看到雪，真是漂亮……就是太冷了。,3002,,,3,4
308,FAL-冬幕补给行动,0,106,0,19,0,,圣诞快乐，指挥官……趁早让舞会结束吧，一直穿着这套礼服……感觉有点冷呢……,有着高档品位的人在逛街的时候能得到别样的乐趣。无论是品位还是体力，指挥官你都需要好好锻炼才行。,3002,"5.2,-144.3",,3,4
309,MG5-绯红守夜人,0,109,0,19,0,,圣诞快乐，长官。我来帮忙打扫窗户吧，毕竟有点危险，我来处理会稳妥一点。,能和大家一起过圣诞真的很愉快，希望今后每个节日都能这样度过。,3002,,,3,4
310,索米-耳朵山的雪妖精,0,115,0,19,0,,圣诞快乐，指挥官……我今晚的服装，您还满意吗？作为迎接圣诞老人的第一人，不好好打扮可不行呢。,圣诞歌的演唱大获成功！什么时候家乡的音乐也能像圣诞歌一样受欢迎就好了……,3002,,,3,4
401,56-1式-爆竹红,0,66,0,15,0,,新年快乐！指挥官！,,,,,4,5
402,MP-446-向阳葵,0,91,40402,15,0,,新年快乐，长官！新的一年，会有更多的同伴陪我玩嘛？会吧会吧！,,,,,4,5
403,NZ75-金姬菊,0,126,0,15,0,,啥？新年节目？我、我没准备怎么办！……那好吧，就、就一下啊！不许笑啊！,,,,,4,5
404,M99-仙客来,0,128,0,15,0,,长官，新年好！承蒙关照，我这一年进步也不小吧？明年请继续期待我啊！,,,,,4,5
405,95式-玉玲珑,0,129,0,15,0,,过年好，长官。今年有很多同伴加入，要备不少红包啊，97那份昨晚已经给了呢。,,,,,4,5
