id,name,description,code,priority,duration_type,duration_time,special_spot_config_id,mission_hurt_config_id,mission_buff_config_id,detect_target_type,detect_range,effect_target_type,effect_spotbelong_type,effect_range_type,effect_range,side_type,conflict_type,conditions_type,conditions_time,conditions_count,skill_config_id_on_birth,skill_config_id_on_death,death_effect_target_type,death_clear_spot,effect_birth,effect_death,effect_duration,effect_process_star,effect_process_end,effect_process_duration,effect_conditions,effect_conditions_type,spot_buff_config_id,pref_code
1,减耗BUFF点,减耗妖精生成的初期特殊点，出生时给我方梯队释放BUFF,1,9,1,0,0,0,0,1,0,0,"0,1,2,3",1,0,0,1,0;0,0-0;0-0,0,"1,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
2,战斗妖精,战斗妖精生成的特殊点,2,10,1,0,0,0,0,1,0,1,"0,1,2,3",1,0,0,2,0;0,1-1;0-0,0,"2,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
3,暴击妖精,暴击妖精生辰的初始特殊点,3,11,1,0,0,0,0,1,0,1,"0,1,2,3",1,0,0,3,0;0,1-1;0-0,0,"3,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
6,防御妖精,防御妖精生成时的特殊点,6,14,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,4,0;0,0-0;0-0,0,"5,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
8,增援妖精,增援妖精生成特殊点,8,16,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,8,0;0,0-0;0-0,0,"8,8,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
10,布雷妖精,布雷妖精生成特殊点,10,18,"1,3","2,1",0,1,0,"4,5,6",0,"4,5,6","0,1,2,3",1,0,0,10,"3,4;0","0-1,0-1;0-0",0,"0,0,0","0,0,0",5,0,1,0,2,0,0,0,"0,1",0,0,
12,工事妖精,工事妖精生成特殊点,12,20,1,3,0,0,6,-1,0,"1,8","0,1,2,3",1,0,2,12,2;0,0-1;0-0,0,"0,0,0","0,0,0",0,0,0,0,6,0,0,0,"0,1",0,0,
13,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"13,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
14,搜救妖精,搜救妖精生成buff用特殊点,14,22,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,14,1;0,1-1;0-0,0,"14,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
15,照明妖精,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"15,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
98,工事buff点,工事妖精触发战斗生成buff点,98,98,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,2,98,0;0,0-0;0-0,0,"6,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1101,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1111,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1102,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1112,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1103,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1113,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1104,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1114,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
