id,mission_id,type,special_eft,route,coordinator_x,coordinator_y,enemy_team_id,ally_team_id,belong,random_get,map_type,curve_control,active_cycle,durability,map_route,map_code,hostage_info,building_id,forbid_specialspot,map_num,package,auto_teleport,spot_effect
1,1,1,0,2,-806,-1487,0,0,1,0,2,"-700,-1567",,0,2,road,,0,,0,0,,
2,1,2,0,"1,3",-541,-1687,0,0,3,0,1,"-647,-1607|-470,-1533",,0,"1,3",village,,0,,0,0,,
3,1,3,0,"2,4",-365,-1303,220,0,2,0,2,"-435,-1456|-516,-1243",,0,"2,4",road,,0,,0,0,,
4,1,2,0,"3,5",-640,-1042,0,0,3,0,2,"-570,-1181|-493,-955",,0,"3,5",road,,0,,0,0,,
5,1,2,0,"4,6",-234,-916,0,0,3,0,9,"-369,-930|-137,-1008",,0,"4,6",forest2,,0,,0,0,,
6,1,3,0,"5,7",7,-1145,221,0,2,0,2,"-90,-1054|124,-1036",,0,"5,7",road,,0,,0,0,,
7,1,1,0,6,301,-871,222,0,2,0,3,"183,-981",,0,6,bridge,,0,,0,0,,
9,2,1,0,"10,17,20",409,-573,0,0,1,0,2,"0,0|0,0|0,0",,0,"10,17,20",road,,0,,0,0,,
10,2,2,0,"11,9",78,-852,223,0,2,0,1,"0,0|0,0",,0,"9,11",village,,0,,0,0,,
11,2,2,0,"10,12",-521,-1042,224,0,2,0,2,"0,0|0,0",,0,"10,12",road,,0,,0,0,,
12,2,3,0,"11,13",-463,-553,0,0,1,0,2,"0,0|0,0",,0,"11,13",road,,0,,0,0,,
13,2,2,0,"12,14",-306,-140,225,0,2,0,4,"0,0|0,0",,0,"12,14",forest,,0,,0,0,,
14,2,2,0,"13,15,18",-333,249,226,0,2,0,2,"0,0|0,0|0,0",,0,"13,15,18",road,,0,,0,0,,
15,2,3,0,"14,16",-125,525,227,0,2,0,2,"0,0|0,0",,0,"14,16",road,,0,,0,0,,
16,2,2,0,"15,19,23",113,763,228,0,2,0,2,"0,0|0,0|0,0",,0,"15,19,23",road,,0,,0,0,,
17,2,2,0,"9,18",61,-364,229,0,2,0,4,"0,0|0,0",,0,"9,18",forest,,0,,0,0,,
18,2,3,0,"14,17,19",138,104,230,0,2,0,9,"0,0|0,0|0,0",,0,"14,17,19",forest2,,0,,0,0,,
19,2,2,0,"16,18,22",436,555,0,0,3,0,4,"0,0|0,0|0,0",,0,"16,18,22",forest,,0,,0,0,,
20,2,2,0,"9,21",751,-242,0,0,3,0,3,"0,0|0,0",,0,"9,21",bridge,,0,,0,0,,
21,2,3,0,"20,22,24",1044,55,231,0,2,0,3,"0,0|0,0|0,0",,0,"20,22,24",bridge,,0,,0,0,,
22,2,2,0,"19,23,21",758,339,0,0,3,0,9,"0,0|0,0|0,0",,0,"19,21,23",forest2,,0,,0,0,,
23,2,2,0,"16,22,25",743,770,232,0,2,0,5,"0,0|0,0|0,0",,0,"16,22,25",city,,0,,0,0,,
24,2,2,0,"21,25",1319,325,0,0,3,0,5,"0,0|0,0",,0,"21,25",city,,0,,0,0,,
25,2,1,0,"23,24",1146,691,233,0,2,0,5,"0,0|0,0",,0,"23,24",city,,0,,0,0,,
26,3,1,0,"27,38",-90,-1078,0,0,1,0,8,"0,0|0,0",,0,"27,38",snowforest,,0,,0,0,,
