id,name,en_name,code,introduce,dialogue,extra,en_introduce,type,assist_type,population,cpu_id,hp,assist_damage,assist_reload,assist_hit,assist_def_break,damage,atk_speed,hit,basic_rate,cpu_rate,crit_rate,crit_damage,armor_piercing,dodge,move,assist_armor_piercing,battle_assist_range,display_assist_damage_area,display_assist_area_coef,attack_range,night_vision,skill1,skill2,skill3,performance_skill,passive_skill,dynamic_passive_skill,normal_attack,advanced_bonus,deploy_round,assist_attack_round,attack_round,baseammo,basemre,ammo_part,mre_part,is_additional,launch_time,obtain_ids,piece_item_id,destroy_coef,assist_damage_destroy_coef,mission_skill_repair,develop_duration,dorm_ai,normal_attack_description,is_show,org_id
1,BGM-71,BGM-71,TOW,,,,,1,1,2,1001,100,125,80,135,140,100,100,100,110,90,10,150,0,5,5,400,"1,2",150,270,15,1,500028,500003,500005,900001,"500000,500029,500004,500024,501001",,900107,101,0,0,0,50,50,10,10,0,2016-05-20 00:00:00,0,301,100,0,,28800,"1001,1002,1003",500000,1,10503
2,AGS-30,AGS-30,AGS30,,,,,3,1,2,1002,100,115,95,105,105,100,100,100,105,95,10,150,0,5,5,80,"1,3",200,270,15,1,500021,500022,500023,900005,"500020,501001",,900107,102,0,0,0,40,60,10,10,0,2016-05-20 00:00:00,0,302,100,0,,28800,"1001,1002,1003",500020,1,10503
3,2B14,2B14,2B14,,,,,2,1,2,1003,100,115,95,102,95,100,100,100,100,100,10,150,0,5,5,40,"1,3",250,300,15,1,500007,500009,500010,900006,"500008,500011,500012,501001",,900107,103,0,0,0,60,40,10,10,0,2016-05-20 00:00:00,0,303,100,0,,28800,"1001,1002,1003",500008,1,10503
4,M2,M2,M2,,,,,2,1,2,1004,100,95,120,100,90,100,100,100,90,110,10,150,0,5,5,40,"1,3",250,300,15,1,510107,510103,510104,900007,"510105,510106,510102,501001,510108",,900107,104,0,0,0,60,40,10,10,0,2019-03-07 00:00:00,0,304,100,0,,28800,"1001,1002,1003",500008,1,10503
5,AT4,AT4,AT4,,,,,1,1,2,1005,100,95,135,115,95,100,100,100,105,105,10,150,0,5,5,400,"1,2",150,270,15,1,510201,510203,510204,900008,501001,510202,900107,105,0,0,0,50,50,10,10,0,2019-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,1,10503
6,QLZ-04,QLZ-04,QLZ04,,,,,3,1,2,1006,100,125,90,110,110,100,100,100,95,100,10,150,0,5,5,80,"1,3",200,270,15,1,510301,510303,510304,900025,"510302,510305,510306",,900107,106,0,0,0,40,60,10,10,0,2019-09-26 00:00:00,0,306,100,0,,28800,"1001,1002,1003",510302,1,10503
7,Mk 153,Mk 153,MK153,,,,,1,1,2,1007,100,105,125,110,95,100,100,100,90,110,10,150,0,5,5,400,"1,3",150,270,15,1,900954,900951,900957,900001,"900950,900952,900953",,900107,107,0,0,0,50,50,10,10,0,2020-08-24 00:00:00,0,307,100,0,,28800,"1001,1002,1003",500000,1,10503
8,PP-93,PP93,PP93,,,,,2,1,2,1008,100,95,90,125,100,100,100,100,110,90,30,150,0,5,5,40,"1,3",250,300,15,1,502001,502003,502004,900026,502002,"502005,502006",502002,108,0,0,0,60,40,10,10,0,2019-03-07 00:00:00,0,308,100,0,,28800,"1001,1002,1003",502002,1,10503
1001,阿尔戈-船底座,Carina,GustafAssist3,,,,,101,1,2,1005,100,150,80,300,100,100,100,100,100,100,10,150,0,5,5,400,"1,2",150,270,15,1,900107,900107,900107,900014,900020,,900107,105,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,0,0
1002,阿尔戈-船帆座,Vela ,GustafAssist1,,,,,101,1,2,1005,100,150,80,300,100,100,100,100,100,100,10,150,0,5,5,400,"1,2",150,270,15,1,900107,900107,900107,900015,900021,,900107,105,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,0,0
1003,阿尔戈-船尾座,Puppis,GustafAssist2,,,,,101,1,2,1005,100,150,80,300,100,100,100,100,100,100,10,150,0,5,5,400,"1,2",150,270,15,1,900107,900107,900107,900013,900019,,900107,105,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,0,0
1004,阿尔戈-船底座,Carina,GustafAssist3,,,,,101,1,2,1005,100,400,80,500,500,100,100,100,100,100,10,150,0,5,5,400,"1,2",150,270,15,1,900107,900107,900107,900014,900020,,900107,105,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,0,0
1005,阿尔戈-船帆座,Vela ,GustafAssist1,,,,,101,1,2,1005,100,400,80,500,500,100,100,100,100,100,10,150,0,5,5,400,"1,2",150,270,15,1,900107,900107,900107,900015,900021,,900107,105,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,0,0
1006,阿尔戈-船尾座,Puppis,GustafAssist2,,,,,101,1,2,1005,100,400,80,500,500,100,100,100,100,100,10,150,0,5,5,400,"1,2",150,270,15,1,900107,900107,900107,900013,900019,,900107,105,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,0,0
1007,阿尔戈-船帆座,Vela ,GustafAssist1,,,,,101,1,2,1005,100,150,80,300,100,100,100,100,100,100,10,150,0,5,5,400,"1,4",150,270,15,1,900107,900107,900107,900015,900021,,900107,105,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,0,0
1008,船帆座140,Vela,GustafAssist1,,,,,101,1,2,1005,100,400,80,500,500,100,100,100,100,100,10,150,0,5,5,400,"1,4",150,270,15,1,900107,900107,900107,900015,900021,,900107,105,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,305,100,0,,28800,"1001,1002,1003",500000,0,0
1009,建筑师,BossArchitect,Boss9_Ally,,,,,101,1,2,1001,100,125,80,135,140,100,100,100,110,90,10,150,0,5,5,400,"1,2",150,270,15,1,900107,900107,900107,600409,600402,,900107,101,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,301,100,0,,28800,"1001,1002,1003",500000,1,0
1010,破坏者,Destroyer,Destroyer,,,,,102,3,2,1001,100,125,80,135,140,100,100,100,110,90,10,150,0,5,5,400,"1,2",150,270,15,1,900736,900107,900107,900735,,,900107,101,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,301,0,10,,28800,"1001,1002,1003",500000,0,0
1011,建筑师,Architect,BossArchitect,,,,,102,3,2,1001,100,125,80,135,140,100,100,100,110,90,10,150,0,5,5,400,"1,2",150,270,15,1,900782,900107,900107,900781,,,900107,101,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,301,0,50,,28800,"1001,1002,1003",500000,0,0
1012,梦想家,Dreamer,Dreamer,,,,,102,3,2,1001,100,125,80,135,140,100,100,100,110,90,10,150,0,5,5,400,"1,3",150,270,15,1,900961,900107,900107,900964,,,900107,101,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,301,0,0,,28800,"1001,1002,1003",500000,0,0
1013,艾德琳,ADELINE,Nyto_black,,,,,102,3,2,1001,100,125,80,135,140,100,100,100,110,90,10,150,0,5,5,400,"1,3",150,270,15,1,902357,900107,900107,902360,,,900107,101,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,301,0,0,,28800,"1001,1002,1003",500000,0,0
1014,埃莉诺,ALINA,Nyto_white,,,,,102,3,2,1001,100,125,80,135,140,100,100,100,110,90,10,150,0,5,5,400,"1,1",150,270,15,1,902432,900107,900107,902435,,,900107,101,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,301,0,0,,28800,"1001,1002,1003",500000,0,0
1015,BGM-71,BGM-71,TOW,,,,,1,1,2,1001,1000,300,600,500,1000,100,100,100,110,90,10,150,0,5,5,400,"1,2",150,270,15,1,500028,500003,500005,900001,"500000,500029,500004,500024,501001",,900107,101,0,0,0,50,50,10,10,0,2029-03-21 00:00:00,0,301,100,0,,28800,"1001,1002,1003",500000,0,0
1016,PP-93,PP93,PP93,,,,,2,1,2,1008,800,350,600,500,1000,100,100,100,110,90,30,150,0,5,5,40,"1,3",250,300,15,1,502001,502003,502004,900026,502002,"502005,502006",502002,108,0,0,0,60,40,10,10,0,2029-03-21 00:00:00,0,308,100,0,,28800,"1001,1002,1003",502002,0,0
1017,QLZ-04,QLZ-04,QLZ04,,,,,3,1,2,1006,800,350,600,600,1000,100,100,100,95,100,10,150,0,5,5,80,"1,3",200,270,15,1,510301,510303,510304,900025,"510302,510305,510306",,900107,106,0,0,0,40,60,10,10,0,2029-03-21 00:00:00,0,306,100,0,,28800,"1001,1002,1003",510302,0,0
