id,group_id,lv,unlock_number,assist_damage,assist_reload,assist_hit,assist_def_break,damage,atk_speed,hit,def
10101,101,1,4,16,0,6,0,0,0,0,0
10102,101,2,10,0,3,0,8,0,0,0,0
10103,101,3,16,36,0,8,0,0,0,0,0
10104,101,4,22,0,0,10,14,0,0,0,0
10105,101,5,28,46,6,0,0,0,0,0,0
10106,101,6,32,0,0,14,18,0,0,0,0
10107,101,7,36,60,0,0,26,0,0,0,0
10201,102,1,4,8,0,4,0,0,0,0,0
10202,102,2,10,0,8,0,4,0,0,0,0
10203,102,3,16,14,0,6,0,0,0,0,0
10204,102,4,24,0,10,0,8,0,0,0,0
10205,102,5,30,26,0,12,0,0,0,0,0
10206,102,6,34,0,12,0,14,0,0,0,0
10207,102,7,38,36,16,0,0,0,0,0,0
10301,103,1,4,16,0,6,0,0,0,0,0
10302,103,2,10,0,5,0,3,0,0,0,0
10303,103,3,16,36,0,0,0,0,0,0,0
10304,103,4,20,0,0,8,4,0,0,0,0
10305,103,5,24,58,7,0,0,0,0,0,0
10306,103,6,28,0,10,0,8,0,0,0,0
10307,103,7,32,82,0,8,0,0,0,0,0
10401,104,1,4,13,0,6,0,0,0,0,0
10402,104,2,10,0,6,0,3,0,0,0,0
10403,104,3,16,30,0,0,0,0,0,0,0
10404,104,4,20,0,0,8,4,0,0,0,0
10405,104,5,24,48,9,0,0,0,0,0,0
10406,104,6,28,0,13,0,8,0,0,0,0
10407,104,7,32,68,0,8,0,0,0,0,0
10501,105,1,4,12,0,5,0,0,0,0,0
10502,105,2,10,0,5,0,5,0,0,0,0
10503,105,3,16,27,0,7,0,0,0,0,0
10504,105,4,22,0,0,9,10,0,0,0,0
10505,105,5,28,35,10,0,0,0,0,0,0
10506,105,6,32,0,0,12,12,0,0,0,0
10507,105,7,36,46,0,0,18,0,0,0,0
10601,106,1,4,9,0,6,0,0,0,0,0
10602,106,2,10,0,6,0,6,0,0,0,0
10603,106,3,16,15,0,6,0,0,0,0,0
10604,106,4,24,0,9,0,9,0,0,0,0
10605,106,5,30,28,0,12,0,0,0,0,0
10606,106,6,34,0,10,0,15,0,0,0,0
10607,106,7,38,38,14,0,0,0,0,0,0
10701,107,1,4,24,0,6,0,0,0,0,0
10702,107,2,10,0,10,0,12,0,0,0,0
10703,107,3,16,24,0,6,0,0,0,0,0
10704,107,4,24,0,0,12,12,0,0,0,0
10705,107,5,30,32,10,0,0,0,0,0,0
10706,107,6,34,0,0,12,18,0,0,0,0
10707,107,7,38,32,0,0,18,0,0,0,0
10801,108,1,4,10,0,8,0,0,0,0,0
10802,108,2,10,10,10,0,8,0,0,0,0
10803,108,3,16,15,0,8,0,0,0,0,0
10804,108,4,20,15,0,12,15,0,0,0,0
10805,108,5,24,18,10,0,15,0,0,0,0
10806,108,6,28,18,0,18,0,0,0,0,0
10807,108,7,32,26,0,0,30,0,0,0,0
