lv,exp,precise
1,0,20
2,500,22
3,1400,24
4,2700,26
5,4500,28
6,6700,30
7,9400,32
8,12600,34
9,16200,36
10,20200,38
11,24700,40
12,29700,42
13,35100,44
14,40900,46
15,47200,48
16,54000,50
17,61200,52
18,68800,54
19,77100,56
20,86100,58
21,95900,60
22,106500,62
23,118500,64
24,132000,66
25,147000,68
26,163500,70
27,181800,72
28,201900,74
29,223900,76
30,247900,78
31,274200,80
32,302500,82
33,333300,84
34,366600,86
35,402400,88
36,441000,90
37,482400,92
38,526600,94
39,574000,96
40,624600,98
41,678400,100
42,735700,102
43,796500,104
44,861000,106
45,929200,108
46,1001500,110
47,1077900,112
48,1158400,114
49,1243300,116
50,1332700,118
51,1426800,120
52,1525600,122
53,1629400,124
54,1738300,126
55,1852300,128
56,1971800,130
57,2096700,132
58,2227200,134
59,2363500,136
60,2505900,138
61,2654400,140
62,2809000,142
63,2970100,144
64,3137800,146
65,3312300,148
66,3493800,150
67,3682300,152
68,3877800,154
69,4080800,156
70,4291400,158
71,4509600,160
72,4735800,162
73,4970000,164
74,5212500,166
75,5463300,168
76,5722800,170
77,5990800,172
78,6267800,174
79,6553800,176
80,6849300,178
81,7154000,180
82,7468500,182
83,7792500,184
84,8127000,186
85,8471000,188
86,8826000,190
87,9191000,192
88,9567000,194
89,9954000,196
90,10352000,198
91,10761000,200
92,11182000,202
93,11614000,204
94,12058000,206
95,12514000,208
96,12983000,210
97,13464000,212
98,13957000,214
99,14463000,216
100,15000000,218
