id,grid,grid_number,rank_weight,code
1,"1,1",1,"100,100",grid1
2,"1,2|1,1",2,"100,100",grid2
3,"1,1|1,2|1,3",3,"100,100",grid3
4,"2,1|1,1|1,2",3,"100,100",grid4
5,"4,1|3,1|2,1|1,1",4,"100,100",grid5
6,"2,1|1,1|2,2|1,2",4,"100,100",grid6
7,"3,1|2,1|1,1|1,2",4,"100,100",grid7
8,"1,1|1,2|1,3|2,1",4,"100,100",grid8
9,"2,1|1,1|3,2|2,2",4,"100,100",grid9
10,"3,1|2,1|2,2|1,2",4,"100,100",grid10
11,"1,1|2,1|2,2|3,1",4,"100,100",grid11
12,"2,1|1,1|2,2|1,2|1,3",5,"100,100",grid12
13,"1,1|1,2|2,1|2,2|2,3",5,"100,100",grid13
14,"1,1|2,1|3,1|4,1|5,1",5,"100,100",grid14
15,"1,2|1,1|2,2|3,2|3,1",5,"100,100",grid15
16,"1,1|1,2|2,2|3,2|3,3",5,"100,100",grid16
17,"1,2|1,3|2,2|3,1|3,2",5,"100,100",grid17
18,"1,1|1,2|1,3|2,1|3,1",5,"100,100",grid18
19,"1,1|1,2|1,3|1,4|2,1",5,"100,100",grid19
20,"1,1|2,1|2,2|2,3|2,4",5,"100,100",grid20
21,"1,1|1,2|2,2|2,3|3,3",5,"100,100",grid21
22,"1,3|1,4|2,1|2,2|2,3",5,"100,100",grid22
23,"1,1|1,2|1,3|2,3|2,4",5,"100,100",grid23
24,"1,1|1,2|1,3|1,4|2,3",5,"100,100",grid24
25,"1,3|2,1|2,2|2,3|2,4",5,"100,100",grid25
26,"1,2|2,1|2,2|2,3|3,2",5,"100,100",grid26
27,"1,1|2,1|2,2|2,3|3,1",5,"100,100",grid27
28,"1,2|1,3|2,1|2,2|3,2",5,"100,100",grid28
29,"1,2|2,1|2,2|3,2|3,3",5,"100,100",grid29
30,"1,1|1,2|1,3|2,1|2,2|2,3",6,"100,100",grid30
31,"1,1|1,2|1,3|2,1|2,2|3,1",6,"100,100",grid31
32,"1,1|2,1|2,2|3,1|3,2|4,1",6,"100,100",grid32
33,"1,2|2,1|2,2|3,1|3,2|4,1",6,"100,100",grid33
34,"1,1|2,1|2,2|3,1|3,2|4,2",6,"100,100",grid34
35,"1,1|1,2|2,2|2,3|3,1|3,2",6,"100,100",grid35
36,"1,2|2,2|3,1|3,2|3,3|4,2",6,"100,100",grid36
37,"1,1|2,1|3,1|4,1|5,1|6,1",6,"100,100",grid37
38,"1,1|1,2|2,1|3,1|4,1|4,2",6,"100,100",grid38
39,"1,1|1,2|2,1|2,2|2,3|3,2",6,"100,100",grid39
101,"3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6",16,0,
102,"2,3|2,4|2,5|3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6|7,4|7,5|7,6",22,0,
103,"2,2|2,3|2,4|2,5|3,2|3,3|3,4|3,5|3,6|4,2|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|6,7|7,4|7,5|7,6|7,7",28,0,
104,"2,2|2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,4|4,5|4,6|4,7|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|6,7|7,4|7,5|7,6|7,7",32,0,
