id,name,type,gauge,area,formation_limit,ssoc_limit,hoc_formation_number,hoc_limit,theater_event_id,rank,tips,code,reinforce_coef,background_mask,bgm,advantage_bonus,mask_offset,boss_bgm,occupied_prize,occupied_prize_display
41,灰烬山丘,1,195000000,"411,412,413,414,415,416,417,418",3,5,3,3,4,1,,Theater1,500,"1,0,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"-500,300",,10101,"9:20,4:5"
42,雷鸣平原,1,465000000,"421,422,423,424,425,426,427,428",3,5,3,3,4,2,,Theater2,300,"0,1,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"500,200",,10102,"3:5,1439:1"
43,地狱玄关,1,1640000000,"431,432,433,434,435,436,437,438",3,5,3,3,4,3,,Theater3,200,"0,0,1,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"0,-300",,10103,"1:5,506:200,45:100"
44,死亡山谷,2,2145000000,"441,442,443,444,445,446,447,448",3,5,3,3,4,4,,Theater4,100,"0,0,0,1,255,0,0,200,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase2,0,"0,0",GF_Warzone_Phase2,10104,"41:20,8:1"
51,灰烬山丘,1,195000000,"511,512,513,514,515,516,517,518",3,5,3,3,5,1,,Theater1,500,"1,0,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"-500,300",,55001,"14:200,16:5"
52,雷鸣平原,1,465000000,"521,522,523,524,525,526,527,528",3,5,3,3,5,2,,Theater2,300,"0,1,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"500,200",,55002,"15:100,16:5"
53,地狱玄关,1,1640000000,"531,532,533,534,535,536,537,538",3,5,3,3,5,3,,Theater3,200,"0,0,1,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"0,-300",,55003,"14:200,15:100,16:5"
54,死亡山谷,2,2180000000,"541,542,543,544,545,546,547,548",3,5,3,3,5,4,,Theater4,100,"0,0,0,1,255,0,0,200,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase2,0,"0,0",GF_Warzone_Phase2,55004,"31:300,32:200,33:100"
61,灰烬山丘,1,195000000,"611,612,613,614,615,616,617,618",3,5,3,3,6,1,,Theater1,500,"1,0,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"-500,300",,55001,"14:200,16:5"
62,雷鸣平原,1,465000000,"621,622,623,624,625,626,627,628",3,5,3,3,6,2,,Theater2,300,"0,1,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"500,200",,55002,"15:100,16:5"
63,地狱玄关,1,1640000000,"631,632,633,634,635,636,637,638",3,5,3,3,6,3,,Theater3,200,"0,0,1,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"0,-300",,55003,"14:200,15:100,16:5"
64,死亡山谷,2,2180000000,"641,642,643,644,645,646,647,648",3,5,3,3,6,4,,Theater4,100,"0,0,0,1,255,0,0,200,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase2,0,"0,0",GF_Warzone_Phase2,55004,"31:300,32:200,33:100"
71,灰烬山丘,1,190660000,"711,712,713,714,715,716,717,718",3,5,0,3,7,1,,Theater1,500,"1,0,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"-500,300",,75001,"14:200,16:5"
72,雷鸣平原,1,468370000,"721,722,723,724,725,726,727,728",3,5,1,3,7,2,,Theater2,300,"0,1,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"500,200",,75002,"15:100,16:5"
73,地狱玄关,1,1730130000,"731,732,733,734,735,736,737,738",3,5,3,3,7,3,,Theater3,200,"0,0,1,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"0,-300",,75003,"14:200,15:100,16:5"
74,死亡山谷,2,2095380000,"741,742,743,744,745,746,747,748",3,5,3,3,7,4,,Theater4,100,"0,0,0,1,255,0,0,200,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase2,0,"0,0",GF_Warzone_Phase2,75004,"31:300,32:200,33:100"
81,灰烬山丘,1,190660000,"811,812,813,814,815,816,817,818",3,5,0,3,8,1,,Theater1,500,"1,0,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"-500,300",,75001,"14:200,16:5"
82,雷鸣平原,1,468370000,"821,822,823,824,825,826,827,828",3,5,1,3,8,2,,Theater2,300,"0,1,0,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"500,200",,75002,"15:100,16:5"
83,地狱玄关,1,1730130000,"831,832,833,834,835,836,837,838",3,5,3,3,8,3,,Theater3,200,"0,0,1,0,123,155,255,255,127,128,133,108,0,0.025,0.008,0.45,0.07,0.98",GF_Warzone_Phase1,0,"0,-300",,75003,"14:200,15:100,16:5"
