id,name,group_id,lv,description,code,material_rate,construction_pt,effect,area_id,material_item,material_number
41100,前进基地,411,0,远征队梯队数量+0,TheaterConstruction0,3,0,41100,411,47,10
41101,前进基地,411,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,41101,411,47,10
41102,前进基地,411,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,41102,411,47,10
41103,前进基地,411,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,41103,411,47,10
42100,前进基地,421,0,远征队梯队数量+0,TheaterConstruction0,3,0,42100,421,47,10
42101,前进基地,421,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,42101,421,47,10
42102,前进基地,421,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,42102,421,47,10
42103,前进基地,421,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,42103,421,47,10
42500,战地航管中心,425,0,妖精指令+0,TheaterConstruction0,3,0,42500,425,47,10
42501,战地航管中心,425,1,妖精指令+5,TheaterConstruction31,3,2000000,42501,425,47,10
42502,战地航管中心,425,2,妖精指令+10,TheaterConstruction31,3,5000000,42502,425,47,10
42503,战地航管中心,425,3,妖精指令+15,TheaterConstruction32,3,10000000,42503,425,47,10
43100,前进基地,431,0,远征队梯队数量+0,TheaterConstruction0,3,0,43100,431,47,10
43101,前进基地,431,1,远征队梯队数量+1,TheaterConstruction11,3,6000000,43101,431,47,10
43102,前进基地,431,2,远征队梯队数量+2,TheaterConstruction11,3,15000000,43102,431,47,10
43103,前进基地,431,3,远征队梯队数量+3,TheaterConstruction12,3,30000000,43103,431,47,10
43400,战地航管中心,434,0,妖精指令+0,TheaterConstruction0,3,0,43400,434,47,10
43401,战地航管中心,434,1,妖精指令+5,TheaterConstruction31,3,6000000,43401,434,47,10
43402,战地航管中心,434,2,妖精指令+10,TheaterConstruction31,3,15000000,43402,434,47,10
43403,战地航管中心,434,3,妖精指令+15,TheaterConstruction32,3,30000000,43403,434,47,10
43600,火力阵地,436,0,重装部队使用次数+0,TheaterConstruction0,3,0,43600,436,47,10
43601,火力阵地,436,1,重装部队使用次数+1,TheaterConstruction21,3,6000000,43601,436,47,10
43602,火力阵地,436,2,重装部队使用次数+2,TheaterConstruction21,3,15000000,43602,436,47,10
43603,火力阵地,436,3,重装部队使用次数+3,TheaterConstruction22,3,30000000,43603,436,47,10
44100,前进基地,441,0,远征队梯队数量+0,TheaterConstruction0,3,0,44100,441,47,10
44101,前进基地,441,1,远征队梯队数量+1,TheaterConstruction11,3,40000000,44101,441,47,10
44102,前进基地,441,2,远征队梯队数量+2,TheaterConstruction11,3,60000000,44102,441,47,10
44103,前进基地,441,3,远征队梯队数量+3,TheaterConstruction12,3,90000000,44103,441,47,10
44200,战地航管中心,442,0,妖精指令+0,TheaterConstruction0,3,0,44200,442,47,10
44201,战地航管中心,442,1,妖精指令+5,TheaterConstruction31,3,30000000,44201,442,47,10
44202,战地航管中心,442,2,妖精指令+10,TheaterConstruction31,3,50000000,44202,442,47,10
44203,战地航管中心,442,3,妖精指令+15,TheaterConstruction32,3,80000000,44203,442,47,10
44300,火力阵地,443,0,重装部队使用次数+0,TheaterConstruction0,3,0,44300,443,47,10
44301,火力阵地,443,1,重装部队使用次数+1,TheaterConstruction21,3,20000000,44301,443,47,10
44302,火力阵地,443,2,重装部队使用次数+2,TheaterConstruction21,3,40000000,44302,443,47,10
44303,火力阵地,443,3,重装部队使用次数+3,TheaterConstruction22,3,70000000,44303,443,47,10
51100,前进基地,511,0,远征队梯队数量+0,TheaterConstruction0,3,0,41100,511,47,10
51101,前进基地,511,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,41101,511,47,10
51102,前进基地,511,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,41102,511,47,10
51103,前进基地,511,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,41103,511,47,10
52100,前进基地,521,0,远征队梯队数量+0,TheaterConstruction0,3,0,42100,521,47,10
52101,前进基地,521,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,42101,521,47,10
52102,前进基地,521,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,42102,521,47,10
52103,前进基地,521,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,42103,521,47,10
52500,战地航管中心,525,0,妖精指令+0,TheaterConstruction0,3,0,42500,525,47,10
52501,战地航管中心,525,1,妖精指令+5,TheaterConstruction31,3,2000000,42501,525,47,10
52502,战地航管中心,525,2,妖精指令+10,TheaterConstruction31,3,5000000,42502,525,47,10
52503,战地航管中心,525,3,妖精指令+15,TheaterConstruction32,3,10000000,42503,525,47,10
53100,前进基地,531,0,远征队梯队数量+0,TheaterConstruction0,3,0,43100,531,47,10
53101,前进基地,531,1,远征队梯队数量+1,TheaterConstruction11,3,6000000,43101,531,47,10
53102,前进基地,531,2,远征队梯队数量+2,TheaterConstruction11,3,15000000,43102,531,47,10
53103,前进基地,531,3,远征队梯队数量+3,TheaterConstruction12,3,30000000,43103,531,47,10
53400,战地航管中心,534,0,妖精指令+0,TheaterConstruction0,3,0,43400,534,47,10
