id,name,description,icon,duration,type,formation_number,ssoc_number,hoc_number,spare_gun_num,spare_sangvis_cost,spare_fairy_num
41100,前进基地,远征队梯队数量+0,TheaterBuff1,-1,2,0,0,0,0,0,0
41101,前进基地,远征队梯队数量+1,TheaterBuff1,-1,2,1,0,0,3,20,1
41102,前进基地,远征队梯队数量+2,TheaterBuff1,-1,2,2,0,0,6,40,2
41103,前进基地,远征队梯队数量+3,TheaterBuff1,-1,2,3,0,0,10,72,3
42100,前进基地,远征队梯队数量+0,TheaterBuff1,-1,2,0,0,0,0,0,0
42101,前进基地,远征队梯队数量+1,TheaterBuff1,-1,2,1,0,0,3,20,1
42102,前进基地,远征队梯队数量+2,TheaterBuff1,-1,2,2,0,0,6,40,2
42103,前进基地,远征队梯队数量+3,TheaterBuff1,-1,2,3,0,0,10,72,3
42500,战地航管中心,妖精指令+0,TheaterBuff2,-1,4,0,0,0,0,0,0
42501,战地航管中心,妖精指令+5,TheaterBuff2,-1,4,0,5,0,0,0,0
42502,战地航管中心,妖精指令+10,TheaterBuff2,-1,4,0,10,0,0,0,0
42503,战地航管中心,妖精指令+15,TheaterBuff2,-1,4,0,15,0,0,0,0
43100,前进基地,远征队梯队数量+0,TheaterBuff1,-1,2,0,0,0,0,0,0
43101,前进基地,远征队梯队数量+1,TheaterBuff1,-1,2,1,0,0,3,20,1
43102,前进基地,远征队梯队数量+2,TheaterBuff1,-1,2,2,0,0,6,40,2
43103,前进基地,远征队梯队数量+3,TheaterBuff1,-1,2,3,0,0,10,72,3
43400,战地航管中心,妖精指令+0,TheaterBuff2,-1,4,0,0,0,0,0,0
43401,战地航管中心,妖精指令+5,TheaterBuff2,-1,4,0,5,0,0,0,0
43402,战地航管中心,妖精指令+10,TheaterBuff2,-1,4,0,10,0,0,0,0
43403,战地航管中心,妖精指令+15,TheaterBuff2,-1,4,0,15,0,0,0,0
43600,火力阵地,重装部队使用次数+0,TheaterBuff3,-1,3,0,0,0,0,0,0
43601,火力阵地,重装部队使用次数+1,TheaterBuff3,-1,3,0,0,1,0,0,0
43602,火力阵地,重装部队使用次数+2,TheaterBuff3,-1,3,0,0,2,0,0,0
43603,火力阵地,重装部队使用次数+3,TheaterBuff3,-1,3,0,0,3,0,0,0
44100,前进基地,远征队梯队数量+0,TheaterBuff1,-1,2,0,0,0,0,0,0
44101,前进基地,远征队梯队数量+1,TheaterBuff1,-1,2,1,0,0,3,20,1
44102,前进基地,远征队梯队数量+2,TheaterBuff1,-1,2,2,0,0,6,40,2
44103,前进基地,远征队梯队数量+3,TheaterBuff1,-1,2,3,0,0,10,72,3
44200,战地航管中心,妖精指令+0,TheaterBuff2,-1,4,0,0,0,0,0,0
44201,战地航管中心,妖精指令+5,TheaterBuff2,-1,4,0,5,0,0,0,0
44202,战地航管中心,妖精指令+10,TheaterBuff2,-1,4,0,10,0,0,0,0
44203,战地航管中心,妖精指令+15,TheaterBuff2,-1,4,0,15,0,0,0,0
44300,火力阵地,重装部队使用次数+0,TheaterBuff3,-1,3,0,0,0,0,0,0
44301,火力阵地,重装部队使用次数+1,TheaterBuff3,-1,3,0,0,1,0,0,0
44302,火力阵地,重装部队使用次数+2,TheaterBuff3,-1,3,0,0,2,0,0,0
44303,火力阵地,重装部队使用次数+3,TheaterBuff3,-1,3,0,0,3,0,0,0
