id,name,description,icon,type,timing,scout_selection_id,scout_majority_coef,scout_manority_coef,is_active,theater_event_id
1,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,1,"101,102,103",50,200,1,8
2,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,2,"101,102,103",50,200,1,8
3,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,3,"101,102,103",50,200,1,8
4,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,4,"101,102,103",50,200,1,8
5,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,5,"101,102,103",50,200,1,8
6,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,6,"101,102,103",50,200,1,8
7,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,7,"101,102,103",50,200,1,8
8,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,8,"101,102,103",50,200,1,8
9,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,9,"101,102,103",50,200,1,8
10,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,10,"101,102,103",50,200,1,8
11,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,11,"101,102,103",50,200,1,8
12,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,12,"101,102,103",50,200,1,8
13,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,13,"101,102,103",50,200,1,8
14,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,14,"101,102,103",50,200,1,8
15,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,15,"101,102,103",50,200,1,8
16,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,16,"101,102,103",50,200,1,8
17,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,17,"101,102,103",50,200,1,8
18,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,18,"101,102,103",50,200,1,8
19,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,19,"101,102,103",50,200,1,8
20,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,20,"101,102,103",50,200,1,8
21,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,21,"101,102,103",50,200,1,8
22,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,22,"101,102,103",50,200,1,8
23,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,23,"101,102,103",50,200,1,8
24,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,24,"101,102,103",50,200,1,8
25,渗透侦查,需要对敌方占领的区域进行渗透侦查,TheaterIncident1,1,25,"101,102,103",50,200,1,8
