id,type,prize_id,rank,theater_event_id
101,1,"305:40,48:500,9:100,46:500,506:500",No.1,4
102,1,"305:39,48:475,9:95,46:475,506:475",No.2,4
103,1,"305:38,48:450,9:90,46:450,506:450",No.3,4
104,1,"305:37,48:425,9:85,46:425,506:425",No.4,4
105,1,"305:36,48:400,9:80,46:400,506:400",No.5,4
106,1,"305:35,48:375,9:75,46:375,506:375",No.6,4
107,1,"305:35,48:350,9:70,46:350,506:350",No.7,4
108,1,"305:35,48:325,9:65,46:325,506:325",No.8,4
109,1,"305:35,48:300,9:60,46:300,506:300",No.9,4
110,1,"305:35,48:275,9:55,46:275,506:275",No.10,4
111,1,"305:32,48:250,9:50,46:250,506:250",No.11-100,4
112,1,"305:30,48:225,9:45,46:225,506:225",1%-5%,4
113,1,"305:25,48:200,9:40,46:200,506:200",6%-10%,4
114,1,"305:20,48:175,9:35,46:175,506:175",11%-15%,4
115,1,"305:15,48:150,9:30,46:150,506:150",16%-20%,4
116,1,"305:10,48:125,9:25,46:125,506:125",21%-30%,4
117,1,"305:5,48:100,9:20,46:100,506:100",31%-40%,4
118,1,"305:2,48:75,9:15,46:75,506:75",41%-50%,4
119,1,"48:50,9:10,46:50,506:50",51%-100%,4
201,2,"101:20,501:10000,502:10000,503:10000,504:10000",No.1,4
202,2,"101:19,501:9500,502:9500,503:9500,504:9500",No.2,4
203,2,"101:18,501:9000,502:9000,503:9000,504:9000",No.3,4
204,2,"101:17,501:8500,502:8500,503:8500,504:8500",No.4,4
205,2,"101:16,501:8000,502:8000,503:8000,504:8000",No.5,4
206,2,"101:15,501:7500,502:7500,503:7500,504:7500",No.6,4
207,2,"101:14,501:7000,502:7000,503:7000,504:7000",No.7,4
208,2,"101:13,501:6500,502:6500,503:6500,504:6500",No.8,4
209,2,"101:12,501:6000,502:6000,503:6000,504:6000",No.9,4
210,2,"101:11,501:5500,502:5500,503:5500,504:5500",No.10,4
211,2,"101:10,501:5000,502:5000,503:5000,504:5000",No.11-100,4
212,2,"101:9,501:4500,502:4500,503:4500,504:4500",1%-5%,4
213,2,"101:8,501:4000,502:4000,503:4000,504:4000",6%-10%,4
214,2,"101:7,501:3500,502:3500,503:3500,504:3500",11%-15%,4
215,2,"101:6,501:3000,502:3000,503:3000,504:3000",16%-20%,4
216,2,"101:5,501:2500,502:2500,503:2500,504:2500",21%-30%,4
217,2,"101:4,501:2000,502:2000,503:2000,504:2000",31%-40%,4
218,2,"101:3,501:1500,502:1500,503:1500,504:1500",41%-50%,4
219,2,"101:1,501:1000,502:1000,503:1000,504:1000",51%-100%,4
301,2,"101:20,501:10000,502:10000,503:10000,504:10000",No.1,5
302,2,"101:19,501:9500,502:9500,503:9500,504:9500",No.2,5
303,2,"101:18,501:9000,502:9000,503:9000,504:9000",No.3,5
304,2,"101:17,501:8500,502:8500,503:8500,504:8500",No.4,5
305,2,"101:16,501:8000,502:8000,503:8000,504:8000",No.5,5
306,2,"101:15,501:7500,502:7500,503:7500,504:7500",No.6,5
307,2,"101:14,501:7000,502:7000,503:7000,504:7000",No.7,5
308,2,"101:13,501:6500,502:6500,503:6500,504:6500",No.8,5
309,2,"101:12,501:6000,502:6000,503:6000,504:6000",No.9,5
310,2,"101:11,501:5500,502:5500,503:5500,504:5500",No.10,5
311,2,"101:10,501:5000,502:5000,503:5000,504:5000",No.11-100,5
312,2,"101:9,501:4500,502:4500,503:4500,504:4500",1%-5%,5
313,2,"101:8,501:4000,502:4000,503:4000,504:4000",6%-10%,5
314,2,"101:7,501:3500,502:3500,503:3500,504:3500",11%-15%,5
315,2,"101:6,501:3000,502:3000,503:3000,504:3000",16%-20%,5
316,2,"101:5,501:2500,502:2500,503:2500,504:2500",21%-30%,5
317,2,"101:4,501:2000,502:2000,503:2000,504:2000",31%-40%,5
318,2,"101:3,501:1500,502:1500,503:1500,504:1500",41%-50%,5
319,2,"101:1,501:1000,502:1000,503:1000,504:1000",51%-100%,5
401,1,"306:40,48:500,9:100,46:500,506:500",No.1,5
402,1,"306:39,48:475,9:95,46:475,506:475",No.2,5
403,1,"306:38,48:450,9:90,46:450,506:450",No.3,5
404,1,"306:37,48:425,9:85,46:425,506:425",No.4,5
405,1,"306:36,48:400,9:80,46:400,506:400",No.5,5
406,1,"306:35,48:375,9:75,46:375,506:375",No.6,5
407,1,"306:35,48:350,9:70,46:350,506:350",No.7,5
408,1,"306:35,48:325,9:65,46:325,506:325",No.8,5
409,1,"306:35,48:300,9:60,46:300,506:300",No.9,5
410,1,"306:35,48:275,9:55,46:275,506:275",No.10,5
411,1,"306:32,48:250,9:50,46:250,506:250",No.11-100,5
412,1,"306:30,48:225,9:45,46:225,506:225",1%-5%,5
413,1,"306:25,48:200,9:40,46:200,506:200",6%-10%,5
414,1,"306:20,48:175,9:35,46:175,506:175",11%-15%,5
415,1,"306:15,48:150,9:30,46:150,506:150",16%-20%,5
416,1,"306:10,48:125,9:25,46:125,506:125",21%-30%,5
417,1,"306:5,48:100,9:20,46:100,506:100",31%-40%,5
418,1,"306:2,48:75,9:15,46:75,506:75",41%-50%,5
419,1,"48:50,9:10,46:50,506:50",51%-100%,5
501,2,"101:20,501:10000,502:10000,503:10000,504:10000",No.1,6
502,2,"101:19,501:9500,502:9500,503:9500,504:9500",No.2,6
503,2,"101:18,501:9000,502:9000,503:9000,504:9000",No.3,6
504,2,"101:17,501:8500,502:8500,503:8500,504:8500",No.4,6
505,2,"101:16,501:8000,502:8000,503:8000,504:8000",No.5,6
506,2,"101:15,501:7500,502:7500,503:7500,504:7500",No.6,6
507,2,"101:14,501:7000,502:7000,503:7000,504:7000",No.7,6
508,2,"101:13,501:6500,502:6500,503:6500,504:6500",No.8,6
509,2,"101:12,501:6000,502:6000,503:6000,504:6000",No.9,6
510,2,"101:11,501:5500,502:5500,503:5500,504:5500",No.10,6
511,2,"101:10,501:5000,502:5000,503:5000,504:5000",No.11-100,6
512,2,"101:9,501:4500,502:4500,503:4500,504:4500",1%-5%,6
