id,title,regTarget,targetPath,tipsManagePath,tipManagePos,tipManageSize
1,test,Formation://Canvas,Formation://Canvas/Top/TopBackground,TipsSystem,"443,35,-251","152,76"
2,test,Factory://Canvas,Factory://Canvas/Top/TopBackground,TipsSystem,"443,-24,-251","152,76"
3,test,Dorm://Canvas,Dorm://Canvas/TipsHolder,TipsSystem,"0,0,0","152,76"
4,test,Deployment://Canvas,Deployment://Canvas,TipsSystem,"483.8924,499.324,0","152,76"
5,test,Research://Canvas,Research://Canvas/Top,TipsSystem,"443,-24,-250.9996","152,76"
6,test,MissionSelection://Canvas,MissionSelection://Canvas/Top/TopBackground,TipsSystem,"-406.0145,-17,-251","152,76"
7,test,Dorm://Canvas/SquadFormation(Clone),Dorm://Canvas/SquadFormation(Clone)/Top/TipsHolder,TipsSystem,"61.57983,-0.8320923,0","152,76"
8,test,Dorm://Canvas/DataAnalysisNode(Clone),Dorm://Canvas/DataAnalysisNode(Clone),TipsSystem,"810,338,0","152,76"
9,test,Dorm://Canvas/SquadSkillExpTraining(Clone),Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining,TipsSystem,"-605.9326,1.025471,0","152,76"
10,test,Formation://Canvas/SquadSkillExpTraining(Clone),Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining,TipsSystem,"-605.9326,1.025471,0","152,76"
11,test,Dorm://Canvas/SquadTranscribeList(Clone),Dorm://Canvas/SquadTranscribeList(Clone)/Right/ChipDismantling/ChipDismantlingList,TipsSystem,"228,371,0","152,76"
12,Formation_Presets,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode/RightPanel/TeamText,TipsSystem,"-361,0,0","152,76"
13,Formation_Equipmentswitch,Formation://Canvas,Formation://Canvas/Formation/Main/Right/Eqiupmentswitch (1)/ON,TipsSystem,"-313.02,860.6,0","152,76"
14,Gashapon,Dorm://GashaponController(Clone),Dorm://GashaponController(Clone),TipsSystem,"44,-437,0","152,76"
15,Dorm_FurnGift,Dorm://Canvas/BoxPanel/Top,Dorm://Canvas/BoxPanel/Top,TipsSystem,"427,489,0","152,76"
16,UserDressup_HomePage,UserDressup://Canvas,UserDressup://Canvas/Top,TipsSystem,"893,4,0","152,76"
17,Mall_ClothesShop,Mall://Canvas/ClothingStore(Clone),Mall://Canvas/ClothingStore(Clone)/Diamonds/Icon,TipsSystem,"-420,0,0","152,76"
