id,name,character_des
100,格里芬,单位来自格里芬
101,铁血工造,单位被铁血科技影响，属于铁血工造
102,帕拉蒂斯,单位特点是全身被白色覆盖，其余的一切都是谜团（玩家俗称 白色势力）
103,特种作战司令部,单位来自军方，建议警惕规避
104,感染者,被感染后变异而成，玩家俗称 僵尸
105,安全局,单位隶属于安全局
200,BOSS,警告，危险！该单位为BOSS，请指挥官谨慎应对！
201,稻草人,铁血工造干部
202,行裁者,铁血工造干部
203,猎手,铁血工造干部
204,干扰者,铁血工造干部
205,炼金术士,铁血工造干部
206,破坏者,铁血工造干部
207,计量官,铁血工造干部
208,建筑师,铁血工造干部
209,梦想家,铁血工造干部
210,衔尾蛇,铁血工造干部
211,法官,铁血工造干部
212,代理人,铁血工造干部
213,喙,摩托的狂热爱好者
214,末日魔犬,末日魔犬，铁血工造研发的兽型单位，比普通机械狗更加强大
215,M16A1,M16被伞病毒感染
216,涅托,自称“涅托”的谜之生命体
300,普通,该单位属性较为均衡，没有特别突出的特性
301,危险,单位异常危险，请谨慎应对！
302,巨型,体型庞大，生命值较高！
303,近战,近距离攻击方式
304,高速,拥有较高的移动速度
305,笨重,拥有较低的移动速度
306,机巧,拥有较高的闪避
307,精准,该单位拥有高命中的特点
308,连发,该单位拥有高攻速的特点
309,装甲,该单位拥有护甲
310,护盾,该单位可以生成抵御一定伤害的护盾
311,精密,每次攻击只能对该单位造成少量伤害
312,力场,该单位拥有制造力场盾的能力
313,免伤,该单位可以免除一定量的伤害
314,散射,该单位可以同时攻击多个目标
315,穿甲,攻击可穿透护甲造成伤害
316,弱化,可为目标施加弱化效果
317,压制,可为目标施加移速降低的效果
318,干扰,可为目标施加攻速降低的效果
319,范围杀伤,拥有造成范围伤害的能力
320,贯穿,可对一条直线的多个单位造成伤害
321,制造,战斗中可以制造新的单位参与战斗
322,埋雷,在战役中会埋下陷阱，目标经过会造成伤害。
323,自爆,接近目标会引爆自己，从而对周围造成巨大的伤害
324,控制,干扰目标，让目标短暂的失去行动能力
325,定位,远程锁定一个区域，对该区域的目标造成大量伤害
326,支援,可在战场外支援其他作战中的单位
327,渗透,该单位将无视任何限制与条件持续向前移动
328,骇入,该单位将极大增加我方人形技能的冷却时间
329,必杀,目标拥有不可回避的超高伤害
330,义体,该单位具有多部分生命值//c对不同部位造成伤害将产生不同的效果
331,加深,对同一目标的伤害会持续增加
332,对点特化,将优先攻击较少编制的敌方单位并造成额外的伤害
333,鼓舞,该单位能对场上其他单位产生增益效果
334,重甲,该单位拥有极高的护甲
335,致盲,该单位会大幅度降低我方单位命中
401,持盾前进,该单位在移动时将使用盾牌降低受到的伤害//c伤害降低的数量与当前该单位可造成的伤害相同。
